ID,Sprint #,Epic title,Persona,Requirement,Value,Priority,Acceptance Criteria,User acceptance,Result,Comments
1,1,Single-finding and multi-finding orchestration,System Administrator,"Have the codebase organized into shared folders (/helpers, /agents, /workflow, /aggregation)",To find and maintain pipeline components quickly and consistently,1,Folder structure exists and imports resolve; build succeeds,No,,
2,1,Single-finding and multi-finding orchestration,System Administrator,Have shell command execution and SSH access in one shared module (ShellCommandExecutor),To run remediation commands on the target VM from any agent that needs it,1,Executor runs commands via SSH; read_file and write_file available; no duplicate executor code,Yes,,
3,1,Single-finding and multi-finding orchestration,System Administrator,Have scan logic in one shared module so agents can trigger OpenSCAP scans,To verify fixes and check compliance from Remedy and QA without duplicating scan code,1,Scan can be invoked for a finding; returns pass/fail and output; used by Remedy/QA,Yes,,
4,1,Single-finding and multi-finding orchestration,System Administrator,Have a shared LLM wrapper so agents can call the same API and tool pattern,"To keep model and API configuration in one place and reuse across Triage, Remedy, Review, QA",1,One LLM base used by multiple agents; config (e.g. OpenRouter) in one place,No,,
5,1,Single-finding and multi-finding orchestration,Developer,"Have shared utilities (e.g. normalization, error handling) in one module",To avoid duplicate logic and keep behavior consistent across agents,1,Utilities used by at least two agents or pipeline; tests exist for shared utils,No,,
6,1,Single-finding and multi-finding orchestration,Developer,"Have workflow data models (TriageDecision, RemediationAttempt, ReviewVerdict, QAInput, etc.) in schemas",So every agent and the pipeline agree on inputs and outputs,1,Schemas define all pipeline types; pipeline and agents import and use them,No,,
7,1,Single-finding and multi-finding orchestration,Developer,"Have agent class stubs (Triage, Remedy, Review, QA) with a common process() interface",To implement and test each agent in isolation and plug them into the pipeline,1,Four agent modules exist; each has process(input) returning the right output type,No,,
8,1,Single-finding and multi-finding orchestration,Developer,Have a pipeline class stub that runs one finding through the stages,To wire Triage → Remedy → Review → QA in order and return a single result,1,Pipeline.run(vulnerability) exists; calls each agent in sequence; returns FindingResult,Yes,,
9,1,Single-finding and multi-finding orchestration,Developer,Have a concurrency manager stub that can run multiple pipelines,To later run many findings in parallel without blocking,1,Manager accepts a list of findings and a pipeline factory; placeholder for worker pool,No,,
10,1,"Reporting, aggregation, and observability",Developer,Have a result aggregator stub that collects pipeline results,To later produce one report and one playbook from all findings,1,Aggregator accepts list of FindingResult; stub returns or writes a minimal report,No,,
11,1,Single-finding and multi-finding orchestration,User,Have a single entrypoint (e.g. main_multiagent.py) that runs the pipeline from scan or parsed input,To run the full flow with one command instead of separate scripts,1,Entrypoint runs; can use inventory and scan or skip-scan with parsed JSON; produces outputs,Yes,,
12,1,Single-finding and multi-finding orchestration,Developer,Have the legacy adaptive agent moved into a reference location (e.g. legacy_files),To keep the old behavior available without blocking the new pipeline,1,Legacy code moved; imports updated or documented; main pipeline does not depend on it,No,,
13,1,Single-finding and multi-finding orchestration,Developer,Have all import paths and module wiring updated after restructure,So the project builds and runs without broken imports,1,No import errors; pipeline runs one finding end-to-end in a test,No,,
14,1,Single-finding and multi-finding orchestration,Developer,Have build and runtime verified after restructure,To confirm nothing was broken by the refactor,1,Build succeeds; one full pipeline run completes; no runtime errors from structure,Yes,,
15,1,"Secure, standards-aligned scanning and parsing",System Administrator,Have vulnerability scan output parsed into a structured list (e.g. Vulnerability) for the pipeline,To prioritize and process only real findings from the scan,1,"Parser consumes OpenSCAP XML (or equivalent); outputs list of findings with id, title, severity, etc.",Yes,,
16,1,Triage and risk-based routing,System Administrator,"Have each finding classified by risk (e.g. safe to remediate, human review, too dangerous)",So only appropriate findings are auto-remediated and the rest are flagged,1,Triage returns a decision per finding; classification is repeatable and logged,Yes,,
17,1,Triage and risk-based routing,System Administrator,Have findings that need human review flagged so they are not auto-remediated,To avoid automating high-risk changes without oversight,1,Human-review findings are not sent to Remedy; they appear in reports for manual handling,Yes,,
18,1,Triage and risk-based routing,Developer,"Have Triage output a structured TriageDecision (e.g. should_remediate, risk_level, reason)",So the pipeline and downstream agents get a consistent triage result,1,TriageDecision model exists and is returned by Triage agent; used by pipeline and Remedy,No,,
19,1,Triage and risk-based routing,Evaluator,Have triage decisions covered by unit tests so behavior is stable across changes,To trust that triage logic still matches requirements after code changes,1,Unit tests exist for Triage; tests cover at least heuristic and one LLM path; tests pass,Yes,,
20,1,Automated remediation with verification,System Administrator,"Have the Remedy agent use run_cmd, read_file, write_file, and scan tools only",To limit what the agent can do on the VM and keep actions auditable,1,Remedy only calls these four tools; no direct shell or undocumented tools,Yes,,
21,1,Automated remediation with verification,System Administrator,Have a core remediation loop that runs commands and then verifies with a scan,So each fix is checked before moving to Review,1,"Remedy runs commands, then runs scan for that finding; scan result is in RemediationAttempt",Yes,,
22,1,Automated remediation with verification,System Administrator,Have retry logic and a max-attempt limit when the scan still fails,To avoid infinite loops and surface hard findings for manual handling,1,"After N failed attempts, Remedy stops; previous attempts are available for feedback",Yes,,
23,1,Automated remediation with verification,Developer,"Have Remedy integration coordinated with Triage, Review, and QA (inputs/outputs)",So the pipeline passes the right data between stages,1,Remedy receives TriageDecision and vulnerability; outputs RemediationAttempt used by Review/QA,No,,
24,1,Quality review and feedback loop,System Administrator,Have the Review agent evaluate whether the remediation is a good solution (not just working),To approve only quality fixes and send weak ones back for improvement,1,"Review returns a verdict (e.g. approve, feedback, concerns); verdict is used by pipeline",Yes,,
25,1,Quality review and feedback loop,System Administrator,"Have an optimality analysis (e.g. minimal change, best practices) in the review step",So remediations are not only correct but also maintainable and safe,1,Review prompt and output include optimality/quality criteria; feedback is actionable,Yes,,
26,1,Quality review and feedback loop,System Administrator,Have a review → remedy feedback loop so rejected fixes can be retried with suggestions,To improve fix quality without manual re-runs,1,"When Review rejects, pipeline can send feedback to Remedy and retry (within limits)",Yes,,
27,1,Quality review and feedback loop,Developer,"Have Review output a structured ReviewVerdict (e.g. approve, feedback, concerns)",So the pipeline and QA get a consistent review result,1,ReviewVerdict model exists and is returned by Review agent; used by pipeline and QA,No,,
28,1,Quality review and feedback loop,Evaluator,Have the review–remedy loop behavior validated (approve path and reject/retry path),To confirm the pipeline does not get stuck and respects max retries,1,Test or scenario shows approve → QA and reject → Remedy retry; loop exits correctly,Yes,,
29,1,System-wide validation and safety,System Administrator,Have the QA agent check that key services are still available after remediation,To ensure fixes did not break the system,1,QA runs service checks (e.g. systemctl status); result is part of QAResult,Yes,,
30,1,System-wide validation and safety,Developer,"Have QA output a structured QAResult (e.g. safe, recommendation, system_checks)",So the pipeline and aggregation get a consistent QA result,1,QAResult model exists and is returned by QA agent; used by pipeline and reports,No,,
31,1,System-wide validation and safety,System Administrator,Have regression detection so we know if a fix broke another finding or the system,To catch side effects before marking a finding as done,1,QA or pipeline can detect regressions; result is visible in report or QAResult,Yes,,
32,1,System-wide validation and safety,Evaluator,Have validation that safe vs unsafe remediation cases are handled correctly,To trust that the system only approves when QA says safe,1,Test cases for safe and unsafe outcomes; pipeline status and report reflect QA verdict,Yes,,
33,1,"Reporting, aggregation, and observability",Project Manager,Have structured JSON outputs for evaluation and reporting,To analyze results and compare runs without parsing logs by hand,1,"Pipeline or aggregator writes JSON (e.g. findings, results, status); format is documented",Yes,,
34,1,"Reporting, aggregation, and observability",Project Manager,Have aggregation logic that combines all finding results into one report and playbook,To see mission readiness and risk in one place,1,"Aggregator produces consolidated report (e.g. counts, list of results) and optional playbook",Yes,,
35,1,"Evaluation, benchmarking, and handoff",Evaluator,Have an overall evaluation plan (internal and UAT) documented,To run tests and UAT in a consistent way,1,"Document describes what will be tested, how, and what success means (e.g. 75% remediation)",No,,
36,1,"Evaluation, benchmarking, and handoff",Project Manager,Have a system block diagram for the multi-agent architecture,To explain the system to stakeholders and new team members,1,"Diagram shows main components (agents, pipeline, helpers, aggregation) and relationships",No,,
37,1,"Evaluation, benchmarking, and handoff",Project Manager,Have a data flow diagram for single-finding pipeline execution,To show how data moves from scan to report,1,Diagram shows inputs/outputs and flow for one finding through Triage → Remedy → Review → QA,No,,
38,1,"Reporting, aggregation, and observability",System Administrator,Have a logging and audit framework design for agent workflows,To trace decisions and actions for compliance and debugging,1,Design document or diagram describes what is logged and where; aligns with DISA STIG / NIST,No,,
39,1,"Evaluation, benchmarking, and handoff",Developer,Have requirements and feature definitions finalized for each agent,So implementation and acceptance criteria are aligned,1,"Document or backlog lists each agent’s responsibility, inputs, outputs, and success criteria",No,,
40,1,"Evaluation, benchmarking, and handoff",Developer,Have a definition of success for each agent interaction (acceptance + DoD),To know when a story or sprint is done (e.g. 75% remediation rate),1,Each agent has acceptance criteria and DoD; sprint DoD includes 75% remediation on evaluation set,No,,
41,1,"Evaluation, benchmarking, and handoff",Project Manager,"Have a decision log for implementation assumptions (e.g. STIG scope, tool limits)",To explain design choices to the sponsor and future maintainers,1,Log exists with at least 5 entries; accessible to the team and sponsor,No,,
42,1,"Evaluation, benchmarking, and handoff",Project Manager,Have alignment between team output and sponsor expectations (e.g. DISA STIG Red Hat),To avoid building the wrong product,1,Sponsor or PM has confirmed that scope and priorities match (e.g. Red Hat STIG support),No,,
43,1,"Evaluation, benchmarking, and handoff",Project Manager,Have Sprint 1 milestone tracking (design and implementation),To report progress and adjust plan,1,Milestones or checklist exist; actual progress is updated at least once per sprint,No,,
44,1,"Evaluation, benchmarking, and handoff",Project Manager,Have the Gantt chart updated with agent-based implementation tasks,To see schedule and dependencies in one place,1,Gantt reflects current WBS and sprint boundaries; agent and pipeline tasks are visible,No,,
45,1,"Evaluation, benchmarking, and handoff",Project Manager,Have actual vs. planned progress reported (e.g. in status or backlog),To spot delays and reallocate work,1,Progress is visible (e.g. in Jira or a status doc); at least sprint-level accuracy,No,,
46,1,"Evaluation, benchmarking, and handoff",Project Manager,Have the risk log updated with current risks and mitigations,To manage project and technical risk,1,Risk log has entries; each has mitigation or owner; updated during the sprint,No,,
47,1,"Evaluation, benchmarking, and handoff",Project Manager,Have mitigation strategies documented for each identified risk,To act on risks instead of only listing them,1,Each major risk has a short mitigation; doc is in repo or project space,No,,
48,1,"Evaluation, benchmarking, and handoff",Evaluator,Have initial test cases for remediation success and failure scenarios,To validate the pipeline before UAT,1,"At least 3 test cases (e.g. success, scan fail, review reject); cases are runnable and documented",Yes,,
49,1,"Evaluation, benchmarking, and handoff",Evaluator,"Have an internal evaluation plan (unit, integration, system) documented",To run internal tests in a repeatable way,1,"Plan lists test levels, scope, and pass criteria; team can execute it",No,,
50,1,"Evaluation, benchmarking, and handoff",Evaluator,"Have a user acceptance test plan (protocol, users, metrics) documented",To run UAT with real users later,1,"UAT plan describes who, what they will do, what we measure, and what “pass” means",No,,
51,2,Single-finding and multi-finding orchestration,System Administrator,Have a configurable worker pool (e.g. max 4 workers) for concurrent pipeline runs,To process multiple findings in parallel and tune load on the VM,2,Concurrency is configurable (e.g. 1–4); multiple findings run in parallel; no deadlock or corruption,Yes,,
52,2,Single-finding and multi-finding orchestration,System Administrator,Have finding queue distribution so each worker gets findings until the backlog is done,To balance work across workers and finish all findings,2,All findings are processed; no finding is dropped or run twice; completion order is logged,Yes,,
53,2,Single-finding and multi-finding orchestration,System Administrator,Have shared VM coordination so concurrent runs do not conflict on the same host,To avoid overlapping commands or scan runs on one VM,2,Concurrent runs complete without VM errors; scans and commands do not interfere in tests,Yes,,
54,2,Single-finding and multi-finding orchestration,Evaluator,Have concurrent execution correctness validated (results match sequential behavior),To trust that concurrency does not change outcomes,2,Same findings run sequential vs concurrent; aggregated results are equivalent (e.g. same success count),Yes,,
55,2,Single-finding and multi-finding orchestration,Evaluator,Have a stress test with many findings (e.g. 10+) running concurrently,To ensure stability and performance under load,2,Stress test runs; no crashes or hangs; system completes within a reasonable time; 75% DoD still measurable,Yes,,
56,2,"Reporting, aggregation, and observability",Project Manager,Have aggregation logic that combines results from all concurrent runs into one report,To get one report and one playbook for the full run,2,Aggregator consumes all FindingResults; produces one report and one playbook; counts are correct,Yes,,
57,2,"Evaluation, benchmarking, and handoff",Developer,Have acceptance criteria defined for each agent’s behavior (for tests and UAT),To test and accept each agent in isolation and in the pipeline,2,Each agent has 2+ acceptance criteria; criteria are testable and written in user/customer terms,No,,
58,2,"Reporting, aggregation, and observability",Project Manager,"Have outcomes classified (e.g. success, retry exhaustion, failure) in the report","To see how many findings were fixed, failed, or discarded",2,Report or JSON includes outcome per finding and summary counts; classification is consistent,Yes,,
59,2,"Reporting, aggregation, and observability",Project Manager,Have traceability across findings and agents (e.g. which agent did what for which finding),To debug and audit the pipeline,2,Logs or report allow tracing one finding through Triage → Remedy → Review → QA,Yes,,
60,2,Automated remediation with verification,Developer,"Have the Remedy agent refactored for clarity and reuse (e.g. tools, loop, scan)",To reduce bugs and make future changes easier,2,Remedy code is cleaner; behavior unchanged; tests still pass,No,,
61,2,Quality review and feedback loop,Developer,Have the Review agent refactored for clarity and reuse,To reduce bugs and make future changes easier,2,Review code is cleaner; behavior unchanged; tests still pass,No,,
62,2,"Secure, standards-aligned scanning and parsing",System Administrator,Have the pipeline and agents deployed and running against Red Hat standard (DISA STIG),To meet the sponsor requirement for Red Hat STIG support,2,System runs on a Red Hat–based image with STIG content; scan and remediation use STIG profile,Yes,,
63,2,"Evaluation, benchmarking, and handoff",Evaluator,"Have test files (e.g. configs, broken VM, non–Red Hat compliant) generated for evaluation",To run internal and UAT tests under different conditions,2,"At least 2–3 test scenarios (e.g. compliant VM, non-compliant, broken); files or scripts are documented",No,,
64,2,"Evaluation, benchmarking, and handoff",Evaluator,Have integration test cases and scripts that run the pipeline with real components,To catch integration bugs before UAT,2,Integration tests exist; they run pipeline with real agents; at least one full run passes,Yes,,
65,2,"Evaluation, benchmarking, and handoff",Evaluator,Have system test cases and scripts that run end-to-end with realistic data,To validate the full system before UAT,2,System tests exist; they run from entrypoint to report; pass criteria include 75% remediation where applicable,Yes,,
66,3,"Evaluation, benchmarking, and handoff",User,"Have a user manual that explains how to install, configure, and run the system",To hand off the system to operators and evaluators,3,"Manual has install, config, and run sections; at least one person outside the team can run the pipeline using it",Yes,,
67,3,"Evaluation, benchmarking, and handoff",Evaluator,Have a way to evaluate performance for different models (e.g. swap LLM and compare),To benchmark and choose models for deployment,3,Process or script allows swapping model (e.g. via env); at least 2 configs run and results are comparable,Yes,,
68,3,"Evaluation, benchmarking, and handoff",Evaluator,Have UAT test cases ready for real users (e.g. 20 participants),To run user acceptance testing and collect feedback,3,UAT cases are written; they map to user stories and acceptance criteria; protocol is clear,Yes,,
69,3,"Evaluation, benchmarking, and handoff",Evaluator,Have different-systems tests (e.g. different OS or scan profiles) if in scope,To ensure the system works in more than one environment,3,If in scope: tests run on at least 2 configurations; results are documented. If out of scope: N/A noted,Yes,,
70,3,Triage and risk-based routing,Evaluator,Have human-in-the-loop workflow evaluation (e.g. findings sent to human review),To validate that human-review path works and is observable,3,Human-review findings are visible and can be reviewed; workflow does not auto-remediate them,Yes,,
71,3,"Reporting, aggregation, and observability",Evaluator,"Have reporting/aggregation correctness tests (counts, playbook content)",To trust that the report and playbook match pipeline results,3,Tests check that report counts and playbook tasks match FindingResults; tests pass,Yes,,
